city,uof_url,uof_shootings_only,uof_coverage,uof_foia_requested,uof_notes,arr_url,arr_coverage,arr_demographic,arr_download,arr_notes,cfs_url,cfs_coverage,cfs_download,cfs_officer_initiated,cfs_dispatched,cfs_outcome,cfs_location,cfs_notes,crime_url,crime_coverage,crime_download,crime_notes,map_url,map_coverage,map_download,map_notes,cens_pop_2010,cens_est_base,cens_est_2010,cens_est_2011,cens_est_2012,cens_est_2013,cens_est_2014,cens_est_2015,cens_est_2016,cens_est_2017,cens_est_2018,cens_est_2019
"Baltimore city, Maryland",https://data.baltimorecity.gov/Public-Safety/BPD-Officer-Involved-Use-Of-Force/3w4d-kckv,N,2013-2015,Y,,https://data.baltimorecity.gov/Public-Safety/BPD-Arrests/3i3v-ibrt,2014-04/30/2020,Y,Y,,https://data.baltimorecity.gov/Public-Safety/911-Police-Calls-for-Service/xviu-ezkt,2013-Present,Y,N,N,N,Y,,https://data.baltimorecity.gov/Public-Safety/BPD-Total-Incidents/6qun-2bet,,N,Not Working Currently (Limited to Part1 crime),https://data.baltimorecity.gov/Public-Safety/Color-Coded-Crime-Map/xugk-a6qb,Unk,N,currently not rendering,"620,961","620,770","620,915","620,410","622,895","622,391","623,587","622,522","616,226","610,481","602,443","593,490"
"Milwaukee city, Wisconsin",https://city.milwaukee.gov/fpc/Reports/ReportsonMPD/Use-of-Force-Reports.htm#.XtfXuTpKiUk,N,2009 - 2018,Y,"Annual report; Change in types of force requiring reporting after Jan 1, 2013. See site for details",N/A,,,,,N/A,,N,,,,,,https://data.milwaukee.gov/dataset/wibr,Year to Date,Y,"
",https://city.milwaukee.gov/Directory/police/Crime-Maps-and-Statistics.htm#.Xt6WOzpKhPY,2018-Present,N,,"594,833","594,498","594,865","597,086","598,569","599,916","600,664","600,477","596,996","593,725","591,375","590,157"
"Albuquerque city, New Mexico",https://www.cabq.gov/police/internal-reports,N,2015-2017,Y,Annual report,N/A,,,,,N/A,,N,,,,,,https://opendata.cabq.gov/dataset/apd-incidents,last 180 days,Y,,N/A,,,,"545,852","546,153","546,755","552,066","555,002","557,445","557,444","557,937","559,192","559,673","559,629","560,513"
"Tucson city, Arizona",http://data-cotgis.opendata.arcgis.com/datasets/tucson-police-officer-involved-shooting-incidents,Y,1/1/2010- 4/40/2018,Y,,http://data-cotgis.opendata.arcgis.com/search?groupIds=b6a49faa168647d8b56e1a06bd53600f&q=arrests,2009 - present,Y,Y,,http://data-cotgis.opendata.arcgis.com/search?groupIds=b6a49faa168647d8b56e1a06bd53600f&q=calls%20for%20service,2012-present,N,,,,,,http://data-cotgis.opendata.arcgis.com/search?groupIds=b6a49faa168647d8b56e1a06bd53600f&q=incidents,2009 - Present,Y,,"https://www.cityprotect.com/map/list/incidents?toDate=2020-03-04T23:59:59.999Z&fromDate=2020-03-01T00:00:00.000Z&pageSize=2000&parentIncidentTypeIds=149,150,148,8,97,104,165,98,100,179,178,180,101,99,103,163,168,166,12,161,14,16,15&zoomLevel=12&latitude=32.21135980008863&longitude=-110.89509031747309&days=1,2,3,4,5,6,7&startHour=0&endHour=24&timezone=%2B00:00",Unk,N,Motorola,"520,116","526,634","527,160","530,709","531,880","532,945","534,800","535,607","537,528","541,377","544,858","548,073"
"Fresno city, California",https://www.fresno.gov/police/records-reports/,N,2014 -,Y,Quarterly reports. Shootings: https://www.fresno.gov/police/wp-content/uploads/sites/5/2016/09/Officer-Involved-Shootings-Report.pdf ; Entire state of CA: https://openjustice.doj.ca.gov/data,N/A,,,,,N/A,,N,,,,,,N/A,,,,N/A,,,,"494,665","497,172","497,769","501,429","505,414","508,880","514,100","518,203","521,426","525,373","528,814","531,576"
"Mesa city, Arizona",N/A,,,Y,,N/A,,,,,https://data.mesaaz.gov/Public-Safety/Police-Computer-Aided-Dispatch-Events/4k95-x7aw,2017-Present,Y,N,N,N,Y,,https://data.mesaaz.gov/Public-Safety/Police-Incidents/39rt-2rfj,2018-Present,Y,,N/A,,,,"439,041","440,092","440,993","447,681","456,968","464,803","473,132","481,811","490,695","500,021","507,945","518,012"
"Sacramento city, California",https://www.cityofsacramento.org/Police/Transparency/Use-Of-Force-Statistics,N,2015-2017,Y,Summary statistics,N/A,,,,,http://data.cityofsacramento.org/datasets/64279ca193a54189aa9214a29d32520c_0,2020-Present,Y,N,N,N,Y,Broken over the past 2 year,https://data.mesaaz.gov/Public-Safety/Police-Incidents/39rt-2rfj,2016-08/31/2019,Y,,N/A,,,,"466,488","466,383","467,286","470,902","474,226","478,214","482,762","488,133","494,127","500,777","507,737","513,624"
"Atlanta city, Georgia",https://www.atlantapd.org/i-want-to/ops-reports,N,2005 - 2018,Y,Very basic UOF stats included in Office of Professional Standards reports,N/A,,,,,N/A,,N,,,,,,http://opendata.atlantapd.org/Crimedata/Today.aspx,2009-Present,Y,"General report, but then able to download specific data","https://communitycrimemap.com/?address=atlanta%20ga&amp;type=advanced&amp;zoom=12&amp;crimeTypes=[1,6,7,8,10,11,12,13,14,15,16,17]",Unk,N,,"420,003","427,059","429,410","437,812","449,016","453,990","461,154","468,303","479,174","491,670","498,183","506,811"
"Kansas City city, Missouri",N/A,,,Y,Crime data: https://data.kcmo.org/dataset/Kansas-City-Crime-NIBRS-Summary/6wc4-sd7p,N/A,,,,,N/A,,N,,,,,,https://www.kcpd.org/crime/crime-statistics/,2009- Present,N,,https://cityprotect.com/map/list/agencies/5ce2bdab3934cc0011edae50/details?search=64106&latitude=39.13080282099449&longitude=-94.45576689218618&zoomLevel=12,2020,N,,"459,787","459,902","460,697","462,368","464,595","467,213","470,629","475,073","481,670","488,329","492,012","495,327"
"Colorado Springs city, Colorado",N/A,,,Y,Participated in a UOF study in 1999: https://www.ncjrs.gov/pdffiles1/nij/176330.pdf,N/A,,,,,N/A,,N,,,,,,https://coloradosprings.gov/police-department/page/cspd-statistical-and-annual-reports?mlid=5051,2000-Present,N,Annual report only,N/A,,,,"416,427","417,447","420,685","427,434","432,782","438,146","442,361","449,572","458,714","465,167","472,567","478,221"
