city,uof_url,uof_shootings_only,uof_coverage,uof_foia_requested,uof_notes,arr_url,arr_coverage,arr_demographic,arr_download,arr_notes,cfs_url,cfs_coverage,cfs_download,cfs_officer_initiated,cfs_dispatched,cfs_outcome,cfs_location,cfs_notes,crime_url,crime_coverage,crime_download,crime_notes,map_url,map_coverage,map_download,map_notes,cens_pop_2010,cens_est_base,cens_est_2010,cens_est_2011,cens_est_2012,cens_est_2013,cens_est_2014,cens_est_2015,cens_est_2016,cens_est_2017,cens_est_2018,cens_est_2019
"Fargo city, North Dakota",N/A,,,N,,N/A,,,,,https://fargond.gov/city-government/departments/police/police-records-data/dispatch-logs,unknown-Present,N,N,N,N,Y,Only include call type/description,https://fargond.gov/city-government/departments/police/police-records-data/annual-report,2013-2019,N,Annual report only,"https://cityprotect.com/map/list/incidents/5ee01956f47cb62ab23a4dfc?toDate=2020-06-10T23:59:59.999Z&fromDate=2020-06-07T00:00:00.000Z&pageSize=2000&parentIncidentTypeIds=149,150,148,8,97,104,165,98,100,179,178,180,101,99,103,163,168,166,12,161,14,16,15&zoomLevel=15&latitude=46.87787727149095&longitude=-96.78031942819655&days=1,2,3,4,5,6,7&startHour=0&endHour=24&timezone=%2B00:00",Last 7 days,N,,"105,549","105,625","106,025","108,142","110,881","113,739","115,715","118,093","120,149","122,420","124,091","124,662"
"Urban Honolulu CDP, Hawaii",N/A,,,Y,,N/A,,,,,N/A,,,,,,,,https://data.honolulu.gov/Public-Safety/Crime-Incidents/5hbk-i3ah,2015-2016,Y,,https://www.crimemapping.com/map/agency/165,Last 7 days,N,,"337,256","337,721","339,121","343,059","346,845","349,237","349,561","351,571","351,747","349,750","346,945","345,064"
"Jackson city, Mississippi",N/A,,,N,,N/A,,,,,N/A,,,,,,,,https://www.jacksonms.gov/ucr/,Feb. 2019-March 2020,N,UCR Data only,N/A,,,,"173,514","173,551","173,698","175,149","174,822","172,927","172,014","170,901","169,022","166,823","163,772","160,628"
"Little Rock city, Arkansas",N/A,,,N,,N/A,,,,,https://clrweb.littlerock.state.ar.us/pub/public_menu.php,Last 8 hours,N,Y,N,N,Y,"On a 30 minute delay, over past 8 hours",https://data.littlerock.gov/Safe-City/Little-Rock-Police-Department-Statistic-Insights/9iy3-rb7k,2017-2020,Y,,N/A,,,,"193,524","193,538","193,972","195,292","196,564","197,143","197,595","198,178","198,631","198,314","197,484","197,312"
"Manchester city, New Hampshire",N/A,,,N,,http://www.manchesternh.gov/Portals/2/Departments/police_blog/Police%20Log.pdf,5/29/2020-06/05/2020,N,N,PDF of previous week's arrests,http://www.manchesternh.gov/Departments/Police/Police-Log,Daily,N,N,N,N,Y,,manchesternh.gov/Departments/Police/Administration/Crime-Data/Crime-Statistics,2017-Present,N,Broad statistics displayed,https://www.crimemapping.com/map/nh/manchester,Last 7 days,N,,"109,565","109,549","109,613","110,281","110,888","111,008","111,198","111,275","111,903","112,235","112,492","112,673"
"Newark city, New Jersey",https://npd.newarkpublicsafety.org/statistics/transparency,N,YTD,Y,Shows most recent month (March) and YTD totals but just 2019.,http://npd.newarkpublicsafety.org/statistics/arrestdata,2017-Present,Y,Y,,N/A,,,,,,,,https://npd.newarkpublicsafety.org/assets/docs/crimestats/cw/20200531.pdf,Previous week,N,Compstat data from previous week,"https://cityprotect.com/map/list/agencies/5ce2bd9e3934cc0011edac8d?toDate=2020-06-10T23:59:59.999Z&fromDate=2020-06-07T00:00:00.000Z&pageSize=2000&parentIncidentTypeIds=149,150,148,8,97,104,165,98,100,179,178,180,101,99,103,163,168,166,12,161,14,16,15&zoomLevel=13&latitude=40.722813032254074&longitude=-74.15492079233789&days=1,2,3,4,5,6,7&startHour=0&endHour=24&timezone=%2B00:00",Unk,N,,"277,140","277,135","277,175","277,574","277,594","278,121","278,936","279,636","280,681","281,237","281,752","282,011"
"Portland city, Maine",N/A,,,N,,https://www.portlandmaine.gov/DocumentCenter/View/5911/Arrest-Log?bidId=,6/1/2020- 6/7/2020,N,Y,"Download PDF, updated weekly",https://www.portlandmaine.gov/739/Daily-Media-Logs,Last 7 days,Y,N,Y,N,Y,PDF download available,N/A,,,,N/A,,,,"66,194","66,191","66,088","66,183","66,216","66,391","66,832","66,825","66,911","66,646","66,405","66,215"
"Providence city, Rhode Island",N/A,,,N,,https://data.providenceri.gov/Public-Safety/Providence-Police-Department-Arrest-Log-Past-60-Da/vank-fyx9,past 60 days,Y,Y,,N/A,,,,,,,,https://data.providenceri.gov/browse?category=Public+Safety&limitTo=datasets,Case Log for past 180 days,Y,"""Recorded state and municipal offenses from AEGIS records management system of the Providence Police""",N/A,,,,"178,042","177,770","178,029","178,332","178,813","178,692","179,119","179,252","179,548","179,252","179,520","179,883"
"Salt Lake City city, Utah",https://dotnet.slcgov.com/police/useofforce#/chartpresentation,N,24 months,N,Dashboard - can download displayed data or visualizations,N/A,,,,,https://dotnet.slcgov.com/Police/CADCallsForService/,Previous 48 hours,N,N,N,N,Y,These are only calls that are cleared by officers,http://www.slcpd.com/open-data/crimestatistics/,2017-Present,N,Compstat info from each precinct,"https://www.cityprotect.com/map/list/agencies/5ce2bd9e3934cc0011edac7b?toDate=2020-03-03T23:59:59.999Z&fromDate=2020-02-29T00:00:00.000Z&pageSize=2000&parentIncidentTypeIds=149,150,148,8,97,104,165,98,100,179,178,180,101,99,103,163,168,166,12,161,14,16,15&zoomLevel=11&latitude=40.791794129811684&longitude=-111.89896604989659&days=1,2,3,4,5,6,7&startHour=0&endHour=24&timezone=%2B00:00",Last 7 days,N,,"186,440","186,433","186,643","188,265","190,183","192,121","191,837","192,163","194,680","200,932","200,435","200,567"
"Sioux Falls city, South Dakota",N/A,,,N,,N/A,,,,,https://www.siouxfalls.org/police/police-log-disclaimer,30 days to present,N,,,,,Site is down,N/A,,,,https://www.crimemapping.com/map/sd/siouxfalls#,Unk,N,Can only view 1000 records at a time,"153,888","153,978","154,533","156,471","159,847","163,478","167,050","170,183","173,503","177,636","180,398","183,793"
"Wichita city, Kansas",https://www.projectcomport.org/department/WPD/useofforce/#uof-force-type,N,2018,Y,Dataset is currently not working,N/A,,,,,N/A,,N,N,N,Y,Y,Outcome information pending,http://opendata.wichita.gov/datasets/0cecba78042249bfb3f7234c2ec2447b_0/data,Past 3 months,Y,,N/A,,,,"382,368","382,437","382,745","383,773","385,751","387,210","388,416","389,412","390,519","390,277","389,231","389,938"
"Wilmington city, Delaware",N/A,,,N,,N/A,,,,,N/A,,,,,,,,https://data.delaware.gov/Public-Safety/State-of-Delaware-NIBRS-Crime-Report-Totals-by-Jur/8njr-fz7r,2002-2018 (annual release),Y,Statewide NIBRS crime data by jurisdiction,"https://www.crimemapping.com/map/location/wilmington,%20delaware?id=",Unk,N,Can only view 1000 records at a time,"70,851","70,875","70,764","70,868","71,045","71,201","71,201","71,131","70,919","70,658","70,457","70,166"
